@type	@id	@lat	@lon	name	brand	operator	shop	opening_hours	addr:city	addr:postcode	addr:street	website	phone
node	21641553	60.5175500	5.2397350	Kiwi Frekhaug	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 56178005
node	26198200	58.7345890	5.6655530	Kiwi Rosseland	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 51483393
node	26343787	59.9446790	10.9364110	Joker Starveien	Joker		supermarket	"Mo-Fr 08:00-22:00, Sa-Su 09:00-21:00"					+47 22102416
node	29763917	60.3451110	5.3942420	Extra Sædalen	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-saedalen-4577	+47 55 92 22 90
node	31026176	59.9251825	10.7750195	Joker Carl Berner	Joker		supermarket	24/7					+47 47977873
node	31116603	60.8640000	7.1160500	Coop Marked Flåm	Coop Marked		supermarket	"Mo-Fr 08:00-20:00, Sa 09:00-18:00, Su 12:00-18:00"				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-flam-1414	+47 57 63 21 08
node	32524978	59.9358100	6.5874190	Joker Skarsmo	Joker		supermarket	"Mo-Th 09:00-18:00, Fr 09:00-20:00, Sa 09:00-18:00, Su 10:00-18:00"					+47 53645111
node	33412898	67.2999018	15.1842915	Coop Prix Valnesfjord	Coop Prix		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-22:00"				https://www.coop.no/butikker/coop-prix/coop-prix-valnesfjord-1843	+47 99 35 82 15
node	36604250	60.5459871	5.2863643	Rema 1000 Knarvik	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 56357066
node	87021423	59.9075448	10.7797548	Galgeberg dagligvare			supermarket	Mo-Su 09:00-21:00					
node	91240966	59.9139760	10.7812360	Bunnpris Kampen	Bunnpris		supermarket	Mo-Su 08:00-23:00					+47 23240540
node	148322126	63.4099490	10.4389260	Rema 1000 Moholt	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 73822700
node	155590469	63.4222270	10.3992180	Bunnpris Samfundet	Bunnpris		supermarket	"Mo-Fr 07:00-23:00, Sa 09:00-21:00"					+47 73524370
node	160253309	63.4634099	11.1139357	Spar Hegra	Spar		supermarket	"Mo-Fr 08:00-21:00, Sa 09:00-20:00"					+47 74802223
node	168842710	63.4097165	10.4439421	Meny Moholt	Meny		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-20:00"					+47 73820200
node	168842713	63.4127330	10.4315440	Bunnpris Moholt	Bunnpris		supermarket	"Mo-Fr 08:00-23:00, Sa 09:00-21:00, Su 10:00-22:00"					+47 73943070;+47 90830154
node	171451018	60.3734770	5.2214550	Joker Brønndalen	Joker		supermarket	"Mo-Fr 10:00-20:00, Sa 09:00-18:00"					+47 94039781
node	175870526	63.4028780	10.4272800	Rema 1000 Nardocenteret	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 90583200
node	180569404	60.0341408	11.3512050	Extra Auli senter	Extra		supermarket	Mo-Sa 07:00-23:00					
node	188758666	63.0963352	9.5996286	Coop Marked Storås	Coop Marked		supermarket	"Mo-Fr 07:00-20:00, Sa 09:00-18:00"				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-storas-1776	+47 97 99 48 10
node	190596261	62.8286780	10.0087790	Rema 1000 Berkåk	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 72427200
node	190596267	62.8289300	10.0114790	Extra Berkåk	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-berkak-1783	+47 97 99 48 43
node	190844130	62.6168572	10.2542651				supermarket						
node	190844179	62.5657650	10.3231610	Coop Marked Kvikne	Coop Marked		supermarket	Mo-Sa 06:00-24:00				https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-kvikne-1617	+47 62 48 40 13
node	193629076	63.3873950	10.3302930	Rema 1000 Stavset	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 72560010
node	196349818	60.3498010	5.1611850	Joker Kaien Brattholmen	Joker		supermarket	"Mo-Fr 08:00-20:00, Sa 09:00-18:00, Su 10:00-21:00"					+47 56322905
node	197492272	60.3719710	5.1801030	Rema 1000 Drotningsvik	Rema 1000		supermarket	Mo-Sa 07:00-23:00				https://www.rema.no/	+47 55506440
node	198304498	58.3352737	8.5903532	Meny Grimstad	Meny		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-20:00"					+47 37252770
node	210259349	63.4215270	10.5266330	Coop Prix Olderdalen	Coop Prix		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-22:00"				https://www.coop.no/butikker/coop-prix/coop-prix-olderdalen-1808	+47 40 00 12 31
node	211168452	63.4211050	10.5344830	Rema 1000 Ranheim	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 73570230
node	212923631	59.4125741	10.6611927	Spar Ekholt	Spar		supermarket	"Mo-Fr 07:00-21:00, Sa 09:00-20:00"					+47 69265920
node	213387069	59.5259810	10.6890790	Kiwi Son	Kiwi		supermarket	"Mo-Fr 08:00-22:00, Sa 08:00-21:00, Su 11:00-18:00"				https://kiwi.no/Finn-butikk/kiwi-446-son	+47 64959370
node	213581529	59.4344370	10.6520140	Rema 1000 Kanalen	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 69273350
node	215091463	59.4455461	10.6836340	Rema 1000 Mosseskogen	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 69240830
node	215091726	59.4469049	10.6856855	Kiwi Tigerplassen	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/Finn-butikk/kiwi-352-tigerplassen	+47 69249433
node	220636585	63.4103851	10.4414846	Kiwi Moholt	Kiwi		supermarket	"Mo-Sa 07:00-23:00, Su 10:00-22:00"					+47 73943052
node	225589553	59.4193276	10.6830257	Kiwi Høyden	Kiwi		supermarket	Mo-Sa 07:00-23:00				https://kiwi.no/Finn-butikk/kiwi-493-hoyden	+47 69265200
node	226059617	63.4216828	10.4469755	Sumart			supermarket					https://sumart.no/	
node	226059642	63.4245000	10.4417000	Coop Mega Valentinlyst	Coop Mega		supermarket	"Mo-Fr 09:00-22:00, Sa 09:00-20:00"				https://www.coop.no/butikker/coop-mega/coop-mega-valentinlyst-1823	+47 40 00 12 49
node	226059674	63.4309910	10.4509360	Rema 1000 Bromstad	Rema 1000		supermarket	"Mo-Sa 07:00-23:00, Su 11:00-22:00"				https://butikk.rema.no/REMA+1000+Bromstad/445451	+47 73905411
node	243081589	59.0171247	6.0381738	Rema 1000 Jørpeland	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 51749252
node	243528356	59.9639604	10.7330634	Kiwi Kringsjå	Kiwi		supermarket	Mo-Sa 07:00-23:00					+47 22589442
node	245395441	63.4180450	10.3524540	Rema 1000 Byåsen	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 72560058
node	246519042	63.3876280	10.3529080	Bunnpris Rydningen	Bunnpris		supermarket	"Mo-Fr 08:00-22:00, Sa 09:00-21:00"				https://bunnpris.no/butikker/bunnpris-rydningen	+47 72568440
node	246705060	63.4093370	10.4446280	Extra Moholt	Extra		supermarket	Mo-Sa 07:00-23:00				https://www.coop.no/butikker/extra/extra-moholt-2161	+47 40 00 12 51
node	246875581	63.4477148	10.4451606	Rema 1000 Ladetorget	Rema 1000		supermarket	Mo-Sa 07:00-23:00					+47 73900622
node	247785800	60.1231910	11.4681770	Bunnpris Årnes	Bunnpris		supermarket	"Mo-Fr 07:00-22:00, Sa 08:00-21:00"					+47 63901233
node	247786072	60.1226664	11.4687073	Coop Mega Årnes	Coop Mega		supermarket	"Mo-Fr 08:00-22:00, Sa 09:00-20:00"				https://www.coop.no/butikker/coop-mega/coop-mega-arnes-1035	+47 63 90 30 45
node	247931924	62.0744300	9.1274690	Kiwi Dombås	Kiwi		supermarket	"Mo-Fr 07:00-23:00, Sa 07:00-21:00, Su 09:00-21:00"					+47 61241287
node	248090171	62.0733580	9.1263530	Extra Dombås	Extra		supermarket	"Mo-Fr 07:00-23:00, Sa 08:00-21:00"				https://www.coop.no/butikker/extra/extra-dombas-2753	+47 61 21 51 50
